20 Hz,35 Hz,50 Hz,70 Hz,95 Hz
131.7,85.7,82.5,40.9,64.1
78.8,123.3,79.9,79.5,55.5
126.5,71.2,56.6,86.3,73.7
146.2,72.6,67.6,68.6,141.7
87.7,96.9,87.4,66.5,53.5
120.3,104.3,69.3,45.8,49.9
89.4,73.1,88.4,58.7,17.6
105.7,98.4,78.5,89.3,63.9
79.0,89.5,61.3,46.8,42.9
93.1,66.3,75.5,37.2,43.2
120.0,97.2,44.4,55.5,61.3
89.2,72.4,83.6,82.7,73.0
77.4,111.3,89.6,53.6,61.0
83.2,85.9,87.4,36.2,41.0
146.3,66.3,55.1,46.4,56.1
136.8,69.0,93.4,61.2,45.5
110.9,82.3,75.9,81.0,52.7
175.8,73.4,75.3,52.5,36.1
131.3,107.3,50.0,46.7,52.9
36.2,59.7,55.6,75.0,43.6
214.2,95.5,65.7,83.9,47.0
81.9,196.6,79.8,65.3,29.7
80.4,128.2,93.0,73.1,22.7
146.0,77.5,62.4,57.9,20.7
117.8,101.4,72.2,63.4,49.4
107.8,62.3,114.7,45.8,71.9
112.8,84.9,110.5,63.9,38.2
66.6,120.4,67.0,71.4,32.9
130.0,54.9,103.0,46.4,46.0
95.9,73.3,56.5,58.0,29.2
103.6,92.2,78.8,47.6,44.7
68.9,92.9,70.9,51.8,48.2
167.8,110.2,46.5,118.8,61.7
84.5,106.0,77.4,60.1,45.8
96.6,117.2,74.1,63.7,54.1
113.4,103.1,59.0,78.6,36.7
173.0,112.6,70.2,88.5,46.4
144.9,98.1,53.1,53.5,49.5
71.2,116.7,77.9,67.0,62.3
86.6,106.9,95.7,32.0,57.2
101.7,65.6,53.4,65.4,57.4
73.0,81.8,68.4,74.6,31.1
95.8,118.8,70.7,64.5,47.6
76.4,76.3,88.5,59.6,82.1
153.5,159.2,48.1,54.9,74.9
65.3,97.6,74.8,49.5,43.1
94.6,75.3,83.7,51.5,55.0
146.2,71.2,43.6,76.8,39.2
118.6,118.2,70.6,44.6,51.8
113.6,120.1,46.7,84.7,51.5
96.7,103.7,54.6,61.5,52.4
135.5,81.8,155.7,40.0,45.1
104.2,115.2,55.4,49.3,12.6
90.1,76.5,47.7,47.1,47.1
121.3,105.9,94.1,73.3,56.5
168.2,93.8,82.6,45.8,45.2
166.1,80.1,70.9,58.2,42.0
70.3,100.5,110.9,85.4,91.6
70.7,93.3,54.7,87.4,54.1
84.0,141.4,100.0,38.8,117.9
66.5,129.3,74.4,67.2,59.7
81.2,74.6,92.0,45.6,24.6
82.8,87.8,122.8,55.1,63.3
187.0,104.5,67.7,81.4,51.3
91.4,74.9,65.5,45.5,34.8
101.7,73.6,71.4,76.6,25.1
181.6,129.1,91.8,78.1,52.4
220.9,119.2,72.0,41.8,41.3
100.1,119.6,72.6,76.6,57.2
81.0,84.7,56.8,54.6,46.5
110.2,81.9,72.4,52.6,54.3
101.0,88.6,55.4,41.4,75.6
56.5,93.4,71.1,54.1,68.9
74.4,104.9,63.7,90.1,53.3
88.2,97.2,95.1,62.1,57.4
105.9,140.9,66.4,61.6,59.6
72.1,50.1,57.5,66.4,55.7
83.2,74.2,68.1,83.9,62.5
175.2,75.8,74.6,82.7,49.7
228.0,96.0,89.2,70.2,46.7
92.3,77.7,45.2,73.1,62.9
113.6,80.3,92.7,49.5,61.6
150.9,74.1,70.7,62.0,37.2
109.9,94.9,61.8,58.0,25.2
65.0,83.0,65.4,40.7,51.1
113.2,105.1,77.5,53.7,71.6
123.3,75.2,52.3,39.2,45.7
94.7,161.2,94.0,82.9,51.2
131.5,113.1,102.4,43.0,36.1
90.5,63.2,71.9,66.9,39.6
100.3,81.4,56.5,46.6,41.4
95.2,116.5,47.4,71.9,42.3
76.9,81.1,58.5,53.7,39.6
89.2,67.0,49.6,52.8,50.7
242.7,77.4,59.6,49.7,40.0
134.7,71.7,96.3,62.0,47.4
90.1,92.3,104.9,74.3,44.9
136.9,99.8,63.6,55.4,40.5
106.6,64.6,80.7,66.5,45.0
71.3,80.6,92.9,62.6,32.7
108.3,88.2,80.2,60.1,47.8
174.0,84.9,70.8,59.9,52.3
86.3,77.2,73.0,37.8,23.3
188.8,88.6,74.7,75.2,32.1
129.5,108.3,116.1,36.0,45.7
80.0,78.4,54.2,59.1,44.9
177.0,86.3,51.9,51.0,43.6
90.4,63.6,80.5,51.9,33.7
