20 Hz,35 Hz,50 Hz,70 Hz,95 Hz
82.1,64.7,79.3,75.3,15.3
116.9,39.5,76.7,65.6,35.6
89.8,120.3,80.4,58.0,38.5
83.8,89.6,64.2,50.4,14.9
121.0,84.0,46.6,75.9,17.5
129.5,80.6,49.2,76.1,35.8
81.7,51.1,41.6,52.1,59.8
61.5,30.8,63.9,35.8,31.2
81.5,74.2,53.4,60.9,29.4
109.0,64.1,61.6,76.0,14.1
76.3,18.7,73.3,56.7,14.6
89.4,29.9,76.6,56.5,45.6
137.4,45.3,72.7,51.9,40.3
83.0,87.8,80.9,43.4,31.4
137.8,123.3,63.2,71.5,26.9
76.8,89.9,55.3,58.6,19.8
84.6,91.8,77.1,35.6,30.1
132.0,101.2,72.6,43.2,21.8
100.5,84.3,67.5,69.0,17.1
105.0,88.3,48.0,47.6,16.7
130.9,119.4,58.7,40.4,11.4
141.6,87.8,82.8,42.4,16.7
175.3,95.3,53.0,37.6,33.7
90.3,85.7,62.4,47.5,47.2
99.1,76.4,60.3,51.9,21.6
152.1,86.9,57.6,58.6,17.1
77.3,77.9,47.2,57.7,40.2
70.9,80.9,64.8,51.3,15.8
81.6,99.6,76.4,45.1,20.6
133.4,81.5,55.5,53.3,11.4
162.4,65.9,53.6,44.8,28.0
92.6,90.2,62.2,50.3,25.1
67.0,80.2,59.4,63.0,36.2
57.5,86.6,69.9,67.9,14.8
69.5,105.7,46.1,67.9,18.1
100.6,84.4,50.5,37.8,21.6
19.3,74.4,51.5,60.5,19.5
114.1,106.4,62.2,52.9,15.0
73.4,87.2,61.1,78.7,20.1
12.8,46.3,90.7,48.0,14.2
145.7,69.4,141.8,42.1,40.4
128.3,117.0,92.0,50.2,27.6
96.9,83.0,67.0,46.5,25.9
53.4,63.4,67.6,58.6,20.3
87.7,101.5,89.7,49.6,16.1
79.7,93.5,35.6,95.9,21.1
66.1,74.0,63.3,51.7,45.4
111.3,84.9,70.5,68.7,25.3
129.1,92.0,78.7,50.6,22.3
118.2,67.1,95.0,63.0,26.0
157.8,90.9,92.0,43.5,35.8
69.3,64.3,75.6,55.4,30.7
84.9,119.6,82.1,38.0,23.8
137.2,91.0,48.2,49.9,17.5
112.2,67.4,67.4,62.9,23.8
84.3,118.8,54.1,61.0,17.2
48.2,101.0,108.7,75.3,14.0
167.6,76.1,68.8,54.8,24.3
120.6,83.9,61.3,37.9,29.7
107.2,127.5,64.8,60.9,15.6
141.1,66.8,61.2,62.2,20.2
81.8,67.7,42.4,39.0,24.8
107.1,90.1,58.9,60.3,27.3
119.3,92.7,74.5,49.9,30.1
94.9,78.5,81.9,43.4,32.1
85.6,58.3,66.3,68.6,28.3
170.8,95.3,50.3,63.2,16.4
38.6,151.6,110.5,66.3,22.7
172.8,54.0,62.5,98.6,41.8
164.1,95.0,75.5,61.9,33.9
18.6,68.4,76.0,64.7,38.2
90.5,99.7,83.0,48.6,25.8
72.3,74.5,52.9,41.5,20.6
215.8,44.1,55.1,76.9,13.5
50.6,88.4,87.8,65.4,22.0
96.2,92.5,75.7,61.8,31.8
101.2,150.7,79.9,42.4,32.4
173.9,35.3,62.9,52.9,41.5
29.2,132.7,53.1,53.0,19.3
146.3,100.2,61.1,58.0,20.1
135.9,84.2,64.5,69.0,27.1
60.9,94.4,75.5,52.3,30.7
106.1,91.5,60.3,62.6,44.6
79.1,114.5,68.0,74.2,16.8
126.5,100.0,91.9,55.1,21.3
148.8,67.6,47.8,44.6,12.8
92.7,79.4,57.1,46.9,13.9
90.2,89.1,77.3,48.3,27.3
148.6,81.9,78.7,55.1,15.0
94.0,110.4,84.3,67.2,23.9
56.3,81.7,44.5,58.4,26.9
172.9,69.1,38.4,42.6,15.8
127.1,99.6,78.3,37.6,15.9
102.5,57.8,71.6,67.0,13.1
83.5,66.3,85.3,61.6,22.8
82.3,91.3,96.2,62.0,45.9
104.7,98.5,115.2,69.8,29.1
78.0,87.9,52.7,63.9,60.0
123.5,76.1,48.2,82.7,32.6
135.6,118.5,73.2,74.3,16.8
96.7,52.0,67.0,56.5,42.0
96.2,70.4,85.8,37.3,24.8
79.4,113.3,46.1,63.1,29.0
132.9,85.7,81.2,64.2,17.3
65.7,94.6,89.0,84.1,27.6
93.8,103.6,53.1,40.6,24.4
139.1,85.9,54.6,30.4,12.6
129.5,92.9,87.7,44.1,20.1
111.6,117.5,66.9,67.0,23.2
66.1,74.8,85.1,43.1,30.2
93.2,79.0,67.6,70.1,41.0
143.7,60.6,71.0,49.7,60.9
86.3,92.1,90.4,55.0,32.1
68.6,63.9,80.7,67.5,17.0
105.4,84.3,76.8,50.6,33.4
112.4,61.8,52.3,58.8,31.6
119.2,84.4,60.7,65.2,23.4
50.5,73.2,70.4,56.5,19.6
186.9,38.3,73.9,50.7,21.4
144.1,98.9,54.2,65.1,13.6
91.6,97.4,50.4,77.4,37.3
227.0,68.1,67.3,66.6,19.8
100.9,69.0,87.4,51.2,18.8
116.7,110.4,46.4,57.9,25.1
112.7,67.8,59.5,73.9,21.3
